id,ship_mode,segment,country,city,state,postal_code,region,category,sub_category,sales,quantity,discount,profit,profit_margin_percentage,discount_impact_category,total_sales_city
1,"Second Class",Consumer,"United States",Henderson,Kentucky,42420,South,Furniture,Bookcases,261.96,2,0.00,41.91,16.00,"No Discount",17549.07
2,"Second Class",Consumer,"United States",Henderson,Kentucky,42420,South,Furniture,Chairs,731.94,3,0.00,219.58,30.00,"No Discount",17549.07
3,"Second Class",Corporate,"United States","Los Angeles",California,90036,West,"Office Supplies",Labels,14.62,2,0.00,6.87,46.99,"No Discount",175851.33
4,"Standard Class",Consumer,"United States","Fort Lauderdale",Florida,33311,South,Furniture,Tables,957.58,5,0.45,-383.03,-40.00,"Negative Impact",4929.52
5,"Standard Class",Consumer,"United States","Fort Lauderdale",Florida,33311,South,"Office Supplies",Storage,22.37,2,0.20,2.52,11.27,"Positive Impact",4929.52
6,"Standard Class",Consumer,"United States","Los Angeles",California,90032,West,Furniture,Furnishings,48.86,7,0.00,14.17,29.00,"No Discount",175851.33
7,"Standard Class",Consumer,"United States","Los Angeles",California,90032,West,"Office Supplies",Art,7.28,4,0.00,1.97,27.06,"No Discount",175851.33
8,"Standard Class",Consumer,"United States","Los Angeles",California,90032,West,Technology,Phones,907.15,6,0.20,90.72,10.00,"Positive Impact",175851.33
9,"Standard Class",Consumer,"United States","Los Angeles",California,90032,West,"Office Supplies",Binders,18.50,3,0.20,5.78,31.24,"Positive Impact",175851.33
10,"Standard Class",Consumer,"United States","Los Angeles",California,90032,West,"Office Supplies",Appliances,114.90,5,0.00,34.47,30.00,"No Discount",175851.33
11,"Standard Class",Consumer,"United States","Los Angeles",California,90032,West,Furniture,Tables,1706.18,9,0.20,85.31,5.00,"Positive Impact",175851.33
12,"Standard Class",Consumer,"United States","Los Angeles",California,90032,West,Technology,Phones,911.42,4,0.20,68.36,7.50,"Positive Impact",175851.33
13,"Standard Class",Consumer,"United States",Concord,"North Carolina",28027,South,"Office Supplies",Paper,15.55,3,0.20,5.44,34.98,"Positive Impact",10542.40
14,"Standard Class",Consumer,"United States",Seattle,Washington,98103,West,"Office Supplies",Binders,407.98,3,0.20,132.59,32.50,"Positive Impact",119540.74
15,"Standard Class","Home Office","United States","Fort Worth",Texas,76106,Central,"Office Supplies",Appliances,68.81,5,0.80,-123.86,-180.00,"Negative Impact",6602.69
16,"Standard Class","Home Office","United States","Fort Worth",Texas,76106,Central,"Office Supplies",Binders,2.54,3,0.80,-3.82,-150.39,"Negative Impact",6602.69
17,"Standard Class",Consumer,"United States",Madison,Wisconsin,53711,Central,"Office Supplies",Storage,665.88,6,0.00,13.32,2.00,"No Discount",5346.79
18,"Second Class",Consumer,"United States","West Jordan",Utah,84084,West,"Office Supplies",Storage,55.50,2,0.00,9.99,18.00,"No Discount",311.85
19,"Second Class",Consumer,"United States","San Francisco",California,94109,West,"Office Supplies",Art,8.56,2,0.00,2.48,28.97,"No Discount",112669.09
20,"Second Class",Consumer,"United States","San Francisco",California,94109,West,Technology,Phones,213.48,3,0.20,16.01,7.50,"Positive Impact",112669.09
21,"Second Class",Consumer,"United States","San Francisco",California,94109,West,"Office Supplies",Binders,22.72,4,0.20,7.38,32.48,"Positive Impact",112669.09
22,"Standard Class",Corporate,"United States",Fremont,Nebraska,68025,Central,"Office Supplies",Art,19.46,7,0.00,5.06,26.00,"No Discount",1119.01
23,"Standard Class",Corporate,"United States",Fremont,Nebraska,68025,Central,"Office Supplies",Appliances,60.34,7,0.00,15.69,26.00,"No Discount",1119.01
24,"Second Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,71.37,2,0.30,-1.02,-1.43,"Negative Impact",109077.09
25,"Standard Class",Consumer,"United States",Orem,Utah,84057,West,Furniture,Tables,1044.63,3,0.00,240.26,23.00,"No Discount",2994.09
26,"Second Class",Consumer,"United States","Los Angeles",California,90049,West,"Office Supplies",Binders,11.65,2,0.20,4.22,36.22,"Positive Impact",175851.33
27,"Second Class",Consumer,"United States","Los Angeles",California,90049,West,Technology,Accessories,90.57,3,0.00,11.77,13.00,"No Discount",175851.33
28,"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,3083.43,7,0.50,-1665.05,-54.00,"Negative Impact",109077.09
29,"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Binders,9.62,2,0.70,-7.05,-73.28,"Negative Impact",109077.09
30,"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,124.20,3,0.20,15.53,12.50,"Positive Impact",109077.09
31,"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Envelopes,3.26,2,0.20,1.10,33.74,"Positive Impact",109077.09
32,"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Art,86.30,6,0.20,9.71,11.25,"Positive Impact",109077.09
33,"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Binders,6.86,6,0.70,-5.72,-83.38,"Negative Impact",109077.09
34,"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,"Office Supplies",Art,15.76,2,0.20,3.55,22.53,"Positive Impact",109077.09
35,"Second Class","Home Office","United States",Houston,Texas,77095,Central,"Office Supplies",Paper,29.47,3,0.20,9.95,33.76,"Positive Impact",64504.71
36,"First Class",Corporate,"United States",Richardson,Texas,75080,Central,Technology,Phones,1097.54,7,0.20,123.47,11.25,"Positive Impact",1288.46
37,"First Class",Corporate,"United States",Richardson,Texas,75080,Central,Furniture,Furnishings,190.92,5,0.60,-147.96,-77.50,"Negative Impact",1288.46
38,"Standard Class","Home Office","United States",Houston,Texas,77041,Central,"Office Supplies",Envelopes,113.33,9,0.20,35.42,31.25,"Positive Impact",64504.71
39,"Standard Class","Home Office","United States",Houston,Texas,77041,Central,Furniture,Bookcases,532.40,3,0.32,-46.98,-8.82,"Negative Impact",64504.71
40,"Standard Class","Home Office","United States",Houston,Texas,77041,Central,Furniture,Chairs,212.06,3,0.30,-15.15,-7.14,"Negative Impact",64504.71
41,"Standard Class","Home Office","United States",Houston,Texas,77041,Central,Technology,Phones,371.17,4,0.20,41.76,11.25,"Positive Impact",64504.71
42,"Standard Class",Corporate,"United States",Naperville,Illinois,60540,Central,Technology,Phones,147.17,4,0.20,16.56,11.25,"Positive Impact",1288.31
43,"Standard Class",Corporate,"United States","Los Angeles",California,90049,West,"Office Supplies",Storage,77.88,2,0.00,3.89,4.99,"No Discount",175851.33
44,"Standard Class",Corporate,"United States",Melbourne,Florida,32935,South,"Office Supplies",Storage,95.62,2,0.20,9.56,10.00,"Positive Impact",95.62
45,"First Class",Corporate,"United States",Eagan,Minnesota,55122,Central,Technology,Accessories,45.98,2,0.00,19.77,43.00,"No Discount",214.28
46,"First Class",Corporate,"United States",Eagan,Minnesota,55122,Central,"Office Supplies",Binders,17.46,2,0.00,8.21,47.02,"No Discount",214.28
47,"Second Class",Consumer,"United States",Westland,Michigan,48185,Central,"Office Supplies",Storage,211.96,4,0.00,8.48,4.00,"No Discount",2057.98
48,"Standard Class",Consumer,"United States",Dover,Delaware,19901,East,Technology,Accessories,45.00,3,0.00,4.95,11.00,"No Discount",4878.07
49,"Standard Class",Consumer,"United States",Dover,Delaware,19901,East,Technology,Phones,21.80,2,0.00,6.10,27.98,"No Discount",4878.07
50,"Standard Class",Consumer,"United States","New Albany",Indiana,47150,Central,"Office Supplies",Binders,38.22,6,0.00,17.96,46.99,"No Discount",209.55
51,"Standard Class",Consumer,"United States","New Albany",Indiana,47150,Central,"Office Supplies",Labels,75.18,6,0.00,35.33,46.99,"No Discount",209.55
52,"Standard Class",Consumer,"United States","New Albany",Indiana,47150,Central,Furniture,Furnishings,6.16,2,0.00,2.96,48.05,"No Discount",209.55
53,"Standard Class",Consumer,"United States","New Albany",Indiana,47150,Central,Furniture,Chairs,89.99,1,0.00,17.10,19.00,"No Discount",209.55
54,"Standard Class",Corporate,"United States","New York City","New York",10024,East,"Office Supplies",Fasteners,15.26,7,0.00,6.26,41.02,"No Discount",256368.12
55,"Standard Class",Corporate,"United States","New York City","New York",10024,East,Technology,Phones,1029.95,5,0.00,298.69,29.00,"No Discount",256368.12
56,"First Class",Consumer,"United States",Troy,"New York",12180,East,"Office Supplies",Storage,208.56,6,0.00,52.14,25.00,"No Discount",4507.07
57,"First Class",Consumer,"United States",Troy,"New York",12180,East,"Office Supplies",Paper,32.40,5,0.00,15.55,47.99,"No Discount",4507.07
58,"First Class",Consumer,"United States",Troy,"New York",12180,East,Furniture,Chairs,319.41,5,0.10,7.10,2.22,"Positive Impact",4507.07
59,"First Class",Consumer,"United States",Troy,"New York",12180,East,"Office Supplies",Paper,14.56,2,0.00,6.99,48.01,"No Discount",4507.07
60,"First Class",Consumer,"United States",Troy,"New York",12180,East,Technology,Accessories,30.00,2,0.00,3.30,11.00,"No Discount",4507.07
61,"First Class",Consumer,"United States",Troy,"New York",12180,East,"Office Supplies",Binders,48.48,4,0.20,16.36,33.75,"Positive Impact",4507.07
62,"First Class",Consumer,"United States",Troy,"New York",12180,East,"Office Supplies",Art,1.68,1,0.00,0.84,50.00,"No Discount",4507.07
63,"Standard Class",Consumer,"United States","Los Angeles",California,90004,West,Technology,Accessories,13.98,2,0.00,6.15,43.99,"No Discount",175851.33
64,"Standard Class",Consumer,"United States","Los Angeles",California,90004,West,"Office Supplies",Binders,25.82,6,0.20,9.36,36.25,"Positive Impact",175851.33
65,"Standard Class",Consumer,"United States","Los Angeles",California,90004,West,"Office Supplies",Paper,146.73,3,0.00,68.96,47.00,"No Discount",175851.33
66,"Standard Class",Consumer,"United States","Los Angeles",California,90004,West,Furniture,Furnishings,79.76,4,0.00,22.33,28.00,"No Discount",175851.33
67,"Standard Class","Home Office","United States",Chicago,Illinois,60610,Central,Furniture,Chairs,213.12,5,0.30,-15.22,-7.14,"Negative Impact",48539.59
